category,price,rating,stock,discount
C,667.0,3.668340748490816,In Stock,41.0
A,7125.0,4.983998118378299,Out of Stock,7.0
A,2777.0,2.678384421487482,In Stock,6.0
A,3772.0,4.890749963096654,In Stock,45.0
A,7936.0,3.032832041059039,In Stock,44.0
B,9319.0,3.479063511857313,In Stock,28.0
D,407.0,2.7742698776847985,In Stock,44.0
B,5850.0,2.264393100564309,Out of Stock,43.0
D,6164.0,4.305789482267322,Out of Stock,1.0
B,8060.0,1.9058024886644624,Out of Stock,43.0
D,6415.0,4.984170226351978,Out of Stock,12.0
C,9870.0,2.8036864935783328,Out of Stock,37.0
C,1134.0,2.886833030618752,In Stock,15.0
D,642.0,1.5983454005426196,Out of Stock,28.0
B,4222.0,4.213202927733002,In Stock,20.0
A,1962.0,4.976201301561568,In Stock,6.0
D,2877.0,3.1301621702727505,Out of Stock,49.0
D,9493.0,2.7804614226232114,Out of Stock,34.0
A,4752.0,4.589987920715608,In Stock,1.0
C,7417.0,3.516107651706844,In Stock,43.0
C,3182.0,4.874851836156545,In Stock,49.0
C,2122.0,4.86095167402677,Out of Stock,29.0
A,8521.0,1.081564565083486,Out of Stock,40.0
A,8251.0,4.052873659464407,In Stock,28.0
B,4061.0,2.882858329954204,In Stock,28.0
B,8205.0,4.755317544912339,Out of Stock,35.0
D,7239.0,3.6103940069190337,In Stock,48.0
D,4625.0,1.718143163550882,In Stock,36.0
C,7953.0,1.572071265516846,In Stock,39.0
C,7911.0,2.7657386196907554,Out of Stock,37.0
D,7564.0,2.576792877375157,In Stock,35.0
D,8555.0,2.3813933482220966,Out of Stock,22.0
C,439.0,2.364554354883883,In Stock,0.0
A,1425.0,1.8037601301099573,In Stock,15.0
B,1493.0,3.3836236749501865,Out of Stock,45.0
D,5381.0,4.767811269419312,Out of Stock,10.0
B,5429.0,1.746249651651913,In Stock,6.0
B,3365.0,4.175149077636549,In Stock,29.0
C,8507.0,4.575949016312601,Out of Stock,41.0
C,8597.0,3.517120302288795,In Stock,23.0
C,2608.0,1.8730838175058309,In Stock,8.0
D,9438.0,3.69118375024206,Out of Stock,36.0
C,5296.0,2.7415569027617632,Out of Stock,34.0
D,2489.0,4.668760788357387,In Stock,42.0
D,3064.0,1.783514835878143,Out of Stock,22.0
A,5080.0,2.1172213117371106,Out of Stock,1.0
C,6292.0,1.1557269813348965,Out of Stock,17.0
D,8394.0,1.8188132957807648,Out of Stock,22.0
B,3923.0,1.4750528082467311,In Stock,10.0
A,6016.0,1.844219155421802,In Stock,1.0
A,6869.0,3.010511245777053,Out of Stock,49.0
B,4242.0,3.993229233892656,Out of Stock,47.0
A,6336.0,3.648349511115054,In Stock,11.0
A,9152.0,4.768849526844075,Out of Stock,11.0
C,8398.0,3.407813914668218,Out of Stock,4.0
A,6991.0,1.0991491374509073,In Stock,21.0
D,8514.0,4.704094088630431,Out of Stock,46.0
A,7939.0,1.8201379880557416,Out of Stock,48.0
A,1439.0,1.49980892352359,In Stock,28.0
D,3152.0,1.5743799713874789,In Stock,6.0
D,8357.0,1.7571129612090046,In Stock,37.0
C,4883.0,3.356603181776897,In Stock,20.0
C,8437.0,3.876005948019308,Out of Stock,21.0
B,9812.0,3.75916033493222,In Stock,25.0
D,1824.0,1.0909424221396071,In Stock,3.0
B,3420.0,1.1848571459127912,In Stock,19.0
A,3745.0,4.205694490998896,In Stock,9.0
D,1966.0,4.343531411256285,In Stock,4.0
D,9430.0,1.948900071416542,In Stock,15.0
C,6185.0,4.989849874633716,Out of Stock,39.0
A,7967.0,3.7150568192563207,In Stock,42.0
B,2997.0,1.1906524666363043,In Stock,16.0
C,3034.0,3.7693396638196175,Out of Stock,11.0
B,4573.0,1.8230936667496571,In Stock,5.0
C,2466.0,2.521499443938243,In Stock,44.0
