category,price,rating,stock,discount,final_price
A,7596.0,2.799564143701305,In Stock,10.0,6836.400000000001
A,9116.0,2.1602775395478866,In Stock,45.0,5013.8
A,4951.0,4.8839025360044666,Out of Stock,23.0,3812.27
A,9854.0,2.694786815958856,Out of Stock,3.0,9558.38
A,9093.0,4.316501678844242,In Stock,9.0,8274.630000000001
A,3763.0,4.543244286729953,Out of Stock,13.0,3273.81
A,3275.0,4.220466085748881,In Stock,44.0,1834.0000000000002
A,8976.0,2.67501243407456,In Stock,5.0,8527.199999999999
A,7967.0,2.6920837831256943,In Stock,48.0,4142.84
A,153.0,4.507532756226666,In Stock,8.0,140.76000000000002
A,1516.0,3.0653659552351487,Out of Stock,26.0,1121.84
A,6586.0,3.970816749781454,Out of Stock,13.0,5729.82
A,786.0,4.453296498183544,Out of Stock,3.0,762.42
A,1883.0,3.4573934291458968,Out of Stock,3.0,1826.51
A,5393.0,1.076529754775847,In Stock,47.0,2858.29
A,6107.0,1.163184957701506,Out of Stock,22.0,4763.46
A,5925.0,3.3808196880250336,In Stock,43.0,3377.2500000000005
A,1188.0,2.5155349926474044,In Stock,31.0,819.7199999999999
A,5281.0,2.1417931536952195,In Stock,41.0,3115.7900000000004
A,7316.0,1.1431668188554256,In Stock,0.0,7316.0
A,8604.0,3.659524202196421,Out of Stock,48.0,4474.08
A,1285.0,3.318983323315053,In Stock,43.0,732.45
A,1138.0,4.7438746861252925,In Stock,4.0,1092.48
A,1511.0,2.9675683423004284,Out of Stock,7.0,1405.23
A,6848.0,4.927541879935664,Out of Stock,26.0,5067.5199999999995
A,3057.0,4.076127733272097,In Stock,12.0,2690.16
A,6161.0,2.012897950373276,Out of Stock,18.0,5052.02
A,4519.0,4.487539498587778,In Stock,39.0,2756.59
A,9709.0,4.773004112072385,In Stock,26.0,7184.66
A,2562.0,1.153528399592458,In Stock,35.0,1665.3
A,9891.0,1.990890376733064,In Stock,19.0,8011.710000000001
A,1411.0,2.2838450072484027,In Stock,9.0,1284.01
A,9852.0,2.0239450414525084,Out of Stock,26.0,7290.48
A,244.0,2.2639855950777465,In Stock,4.0,234.23999999999998
A,8332.0,2.319985365624958,Out of Stock,46.0,4499.280000000001
A,9456.0,1.2277164148513249,In Stock,40.0,5673.599999999999
A,7681.0,2.873701777286475,In Stock,33.0,5146.2699999999995
A,5310.0,3.6491763940230895,Out of Stock,1.0,5256.9
A,6998.0,4.864179522411147,In Stock,16.0,5878.32
A,4726.0,4.108624763502121,Out of Stock,44.0,2646.5600000000004
A,8171.0,2.059080055374693,Out of Stock,14.0,7027.0599999999995
A,2748.0,2.1759963657797043,In Stock,22.0,2143.44
A,7425.0,3.930987621518365,Out of Stock,24.0,5643.0
A,8066.0,2.094705204383652,Out of Stock,21.0,6372.14
A,5690.0,2.5306474795298133,In Stock,42.0,3300.2000000000003
A,3946.0,3.076960129851312,Out of Stock,19.0,3196.26
A,3658.0,3.971626350415578,In Stock,3.0,3548.2599999999998
A,2720.0,3.068155231448395,In Stock,23.0,2094.4
A,3020.0,3.3865934001566265,In Stock,28.0,2174.4
A,3231.0,2.64807174829098,Out of Stock,8.0,2972.52
A,8339.0,3.5583160168704246,In Stock,22.0,6504.42
A,5755.0,4.3245839400566455,Out of Stock,3.0,5582.349999999999
A,2970.0,2.028725181173555,Out of Stock,2.0,2910.6
A,4611.0,1.5987478538921898,Out of Stock,19.0,3734.9100000000003
A,6911.0,2.3380039764190346,Out of Stock,11.0,6150.79
A,6297.0,4.575080451930836,Out of Stock,5.0,5982.15
A,3118.0,3.556225066519996,Out of Stock,49.0,1590.18
A,7539.0,3.544582892642101,In Stock,29.0,5352.69
A,7967.0,3.7150568192563207,In Stock,42.0,4620.860000000001
A,4861.0,2.394329224388529,In Stock,14.0,4180.46
A,7280.0,2.1538050811043083,Out of Stock,23.0,5605.6
A,7535.0,2.684755826345504,In Stock,13.0,6555.45
A,112.0,3.7344032317676903,Out of Stock,23.0,86.24000000000001
A,5261.0,4.32659017047942,Out of Stock,12.0,4629.68
A,7150.0,2.9775348341038668,In Stock,12.0,6292.0
A,1742.0,4.054814421396038,In Stock,49.0,888.42
A,6129.0,3.733946610175,Out of Stock,7.0,5699.969999999999
A,1448.0,1.578281882282309,In Stock,28.0,1042.56
A,3594.0,4.2226453594308175,In Stock,3.0,3486.18
A,844.0,4.86253978510935,In Stock,39.0,514.84
A,8521.0,1.081564565083486,Out of Stock,40.0,5112.599999999999
A,8251.0,4.052873659464407,In Stock,28.0,5940.719999999999
A,8653.0,2.498077666924022,In Stock,31.0,5970.57
A,1521.0,1.9581720015130115,In Stock,15.0,1292.85
A,3038.0,1.2669635061988616,Out of Stock,20.0,2430.4
A,4419.0,3.8302556077829486,Out of Stock,29.0,3137.49
A,1921.0,4.39901880719051,Out of Stock,43.0,1094.97
A,456.0,1.1065448356185934,Out of Stock,35.0,296.40000000000003
A,986.0,2.099192261401087,In Stock,37.0,621.18
A,1425.0,1.8037601301099573,In Stock,15.0,1211.25
A,3190.0,4.955731426319195,In Stock,31.0,2201.1
A,1986.0,2.4139292153414065,In Stock,17.0,1648.3799999999999
A,7138.0,4.222495917261503,Out of Stock,25.0,5353.5
A,6578.0,2.8755560865102137,Out of Stock,37.0,4144.14
A,4767.0,1.621407908096922,In Stock,30.0,3336.8999999999996
A,7601.0,2.8804799527058487,Out of Stock,26.0,5624.74
A,9790.0,1.250023462522429,In Stock,31.0,6755.099999999999
A,7977.0,2.585101833971094,In Stock,40.0,4786.2
A,4752.0,4.589987920715608,In Stock,1.0,4704.48
A,7125.0,4.983998118378299,Out of Stock,7.0,6626.25
A,2777.0,2.678384421487482,In Stock,6.0,2610.3799999999997
A,3772.0,4.890749963096654,In Stock,45.0,2074.6000000000004
A,7936.0,3.032832041059039,In Stock,44.0,4444.160000000001
A,4167.0,2.4320364281041256,Out of Stock,22.0,3250.26
A,1022.0,4.992002328274693,In Stock,30.0,715.4
A,7615.0,3.341888370579414,In Stock,32.0,5178.2
A,9098.0,2.832589819631472,Out of Stock,41.0,5367.820000000001
A,1595.0,4.544642464196663,Out of Stock,23.0,1228.15
A,550.0,1.799935831325174,In Stock,33.0,368.49999999999994
A,8787.0,2.768524323302727,In Stock,23.0,6765.99
A,5317.0,3.194122133459595,In Stock,5.0,5051.15
A,5148.0,1.8996701786254293,In Stock,35.0,3346.2000000000003
A,1962.0,4.976201301561568,In Stock,6.0,1844.28
A,2896.0,4.203366830243058,In Stock,41.0,1708.6400000000003
A,1316.0,3.082218887521531,Out of Stock,24.0,1000.16
A,2173.0,1.4828117547033286,In Stock,32.0,1477.6399999999999
A,6700.0,2.737587965062941,In Stock,42.0,3886.0000000000005
A,3563.0,3.515513302884387,Out of Stock,45.0,1959.65
A,9152.0,4.768849526844075,Out of Stock,11.0,8145.28
A,3745.0,4.205694490998896,In Stock,9.0,3407.9500000000003
A,8284.0,1.3160250648733314,In Stock,34.0,5467.44
A,1853.0,2.6127525607615465,In Stock,9.0,1686.23
